node,degree,clustering_coef,betweenness,pagerank
0,1,0.0,0.0,9.061163688181489e-06
1,70,0.013664596273291925,0.004611301170427044,0.00032692688093060224
2,1,0.0,0.0,9.061163688181489e-06
3,5,0.6,3.1018963664115543e-06,1.9998493880745962e-05
4,8,0.5357142857142857,7.126935524865368e-06,2.676510565752013e-05
5,62,0.1115811739820201,0.007784774660949831,0.00016770631188906958
6,9,0.5,2.2895576849099026e-05,2.9245763205118582e-05
7,14,0.4945054945054945,5.408819163839121e-05,3.6125317998779216e-05
8,1,0.0,0.0,9.061163688181489e-06
9,39,0.03643724696356275,0.007834414223753234,0.00016711741434096285
10,4,1.0,0.0,1.8392013224611482e-05
11,5,0.8,3.4872976306314035e-06,2.0537881045923274e-05
12,5,0.8,3.4872976306314035e-06,2.0537881045923274e-05
13,15,0.2857142857142857,3.173587302972295e-05,4.5997808601493556e-05
14,1,0.0,0.0,9.061163688181489e-06
15,6,0.3333333333333333,2.5993243438293974e-05,2.321286028217931e-05
16,5,0.3,2.0014547410821142e-05,1.9564720177860006e-05
17,1,0.0,0.0,9.061163688181489e-06
18,5,0.1,3.9439682640662184e-05,2.1602218720679095e-05
19,3,0.0,2.034919545534125e-06,2.085199817470132e-05
20,1,0.0,0.0,9.061163688181489e-06
21,4,0.5,4.391332505486511e-06,1.7602613188795904e-05
22,1,0.0,0.0,9.061163688181489e-06
23,1,0.0,0.0,9.061163688181489e-06
24,1,0.0,0.0,9.061163688181489e-06
25,2,0.0,1.996280730373091e-06,1.0823584401111995e-05
26,1,0.0,0.0,9.061163688181489e-06
27,78,0.15551115551115552,0.005218398999129318,0.00018002588615768572
28,1,0.0,0.0,9.061163688181489e-06
29,1,0.0,0.0,9.061163688181489e-06
30,2,0.0,7.028154403926738e-06,1.6495250280308228e-05
31,3,0.0,2.034919545534125e-06,2.085199817470132e-05
32,2,0.0,7.028154403926738e-06,1.6495250280308228e-05
33,1,0.0,0.0,9.061163688181489e-06
34,1,0.0,0.0,9.061163688181489e-06
35,3,0.0,8.52529313276404e-05,1.95149909773207e-05
36,1,0.0,0.0,9.061163688181489e-06
37,1,0.0,0.0,9.061163688181489e-06
38,1,0.0,0.0,9.061163688181489e-06
39,18,0.0457516339869281,0.000472970643415292,7.087615962160539e-05
40,1,0.0,0.0,9.061163688181489e-06
41,3,0.0,8.52529313276404e-05,1.95149909773207e-05
42,4,0.16666666666666666,4.245471040627863e-05,1.747981504553166e-05
43,1,0.0,0.0,9.061163688181489e-06
44,10,0.044444444444444446,9.74295470249088e-05,4.4132723983456766e-05
45,25,0.14666666666666667,0.0012639206403971268,9.16628421865749e-05
46,112,0.07271557271557272,0.031543441144577515,0.00031458511991012055
47,1,0.0,0.0,9.061163688181489e-06
48,1,0.0,0.0,9.061163688181489e-06
49,10,0.6444444444444445,8.143419330690381e-06,2.6501104646339072e-05
50,11,0.5818181818181818,9.238296568041397e-06,2.9645276710766515e-05
51,7,0.0,8.636695962595809e-05,2.5507601388012507e-05
52,3,0.0,8.52529313276404e-05,1.95149909773207e-05
53,111,0.12317772317772317,0.001306135277134165,0.0002331838471413001
54,102,0.1374490390215492,0.0029930322246312143,0.000243769763161678
55,16,0.26666666666666666,4.017564944197373e-05,4.138049806818394e-05
56,309,0.06153070230740133,0.0065285551442014625,0.0006963725696013667
57,1,0.0,0.0,9.061163688181489e-06
58,2,0.0,7.028154403926738e-06,1.6495250280308228e-05
59,11,0.01818181818181818,0.0002060239894099896,4.960503134615268e-05
60,12,0.0,0.0008892025118536431,6.733610437218155e-05
61,1,0.0,0.0,9.061163688181489e-06
62,12,0.015151515151515152,0.0002966833466875211,5.1687361928711734e-05
63,1,0.0,0.0,9.061163688181489e-06
64,1,0.0,0.0,9.061163688181489e-06
65,4,0.0,6.327737260108098e-05,2.589139593158809e-05
66,1,0.0,0.0,9.061163688181489e-06
67,1,0.0,0.0,9.061163688181489e-06
68,1,0.0,0.0,9.061163688181489e-06
69,6,0.13333333333333333,0.00017679087213440353,2.7690311329930644e-05
70,2,0.0,1.35090971595689e-06,1.24049833419422e-05
878,297,0.03328328328328328,0.006971659187553294,0.0007841315069677042
8552,4,0.8333333333333334,5.6055542930210427e-08,1.514051278967699e-05
74,293,0.07464117069521717,0.004025201001844349,0.0006033010801113112
910,125,0.07058064516129033,0.0021592590019953346,0.000366535655293679
75,232,0.1042319749216301,0.001527459106266808,0.0004134246948476768
86,125,0.11548387096774193,0.0011576836231748189,0.00026735531432549043
93,455,0.05815946168369076,0.00835611598565855,0.0008981459521080363
106,422,0.053866330447704065,0.010489995323357685,0.0008852799936884658
136,1026,0.03374506727523416,0.020606747877019868,0.0018715742548839737
140,1245,0.014546933715569674,0.05726598613239822,0.0030076300160099697
144,146,0.15229097779877185,0.002918489519330698,0.00028917602784075383
145,133,0.12622465254044202,0.0007829476197812326,0.00025233754135946636
151,170,0.02763661677688827,0.010899564219435666,0.0005265556734350646
188,468,0.07732571972400666,0.004560957475436733,0.0007469204933587656
195,1143,0.023966793993132646,0.026738125649933272,0.002086631099224861
212,12,0.06060606060606061,8.702155541437036e-05,4.492729543638559e-05
213,514,0.038796732427696996,0.009018013440932617,0.0010200205801444281
301,244,0.04051136746947311,0.004197206615444015,0.000628859700654939
416,791,0.03826913536782474,0.015869865269334232,0.0014487440813209355
443,505,0.04515165802294515,0.01507578067601272,0.0010308214637583803
478,607,0.043866660142126236,0.013883412490915091,0.0011875415323666886
566,924,0.014959219184571297,0.03734999817799342,0.0029004405528320083
588,829,0.014210124531622407,0.03414532142509989,0.0029295871965246655
647,539,0.027477567573159712,0.022178371573847812,0.0014757633320509843
734,686,0.045204400842714564,0.01212128612071672,0.0013903274896719694
823,908,0.018432262044111147,0.0390973676327165,0.0019963621593183135
851,666,0.030048093205987943,0.014250950633465173,0.0013874787386718046
919,118,0.09010575112270028,0.0029028435781133233,0.00031293058895336514
1330,243,0.050403020099989794,0.00869869020153936,0.0006860675477589628
1359,58,0.0677555958862674,0.0004012199765464036,0.00019077061127461628
1365,159,0.050394076904705036,0.0078496328688632,0.00044125334487621717
1371,343,0.06105399553305031,0.007875436608396642,0.00065119317276546
1672,424,0.04646728221597752,0.008155966143933107,0.0009593293582489974
1725,218,0.06290956749672345,0.003627182602605678,0.0005629531057285592
1768,449,0.02275890868596882,0.017601170505161384,0.0015009379797700471
1793,147,0.042586897772807754,0.003221054732468977,0.0004090996013240916
1824,609,0.030561317085817993,0.012221378105854126,0.0011313016001095854
2718,207,0.024576708409549272,0.004872730540201438,0.0007664539617549633
2737,171,0.02889576883384933,0.002883674549289082,0.0005865228551539774
2753,332,0.04850216576274888,0.012207320698029675,0.0008061636565526375
3027,168,0.07000285143997718,0.0012159367893113406,0.000401933798564305
3237,397,0.03708368317940106,0.007431520041518167,0.0008583957499067978
3311,423,0.04768467166369758,0.009800438292782073,0.0009372256662008699
3334,66,0.1916083916083916,0.00042100268124705,0.00013472169704208342
3844,139,0.04410384735689709,0.005203259706212134,0.0003633363722021567
4153,160,0.032861635220125786,0.002148207360511204,0.000524993888774123
4398,190,0.04923419660261766,0.002755544792310338,0.0004750130194898112
4746,383,0.0233756647027463,0.010224462186972533,0.0009821341083263728
5030,389,0.010534545358174541,0.011070963161118181,0.0014976781869327407
5033,163,0.0018935090509732636,0.0031584917781755035,0.0009912984127671144
5036,141,0.0232016210739615,0.007807911654805687,0.0005423792242367685
5048,4,0.16666666666666666,4.029013330883552e-07,1.4768528293277717e-05
5050,45,0.010101010101010102,0.0007739838138121209,0.00020583971317010813
5061,16,0.075,6.450713778445737e-05,4.646352796811283e-05
6917,235,0.09136206583015094,0.00489657743655329,0.000447523656713184
9132,28,0.010582010582010581,0.0023461101907095495,0.00012219318445128743
9136,8,0.0,5.489240124879041e-05,3.54282957838696e-05
9498,3,0.0,1.7094713166088247e-06,1.2166275459418183e-05
9499,6,0.06666666666666667,1.0277187434253236e-05,2.5464307505244272e-05
9500,35,0.0033613445378151263,0.0004877572987879203,0.00019495965663948001
9501,13,0.07692307692307693,9.38412457795647e-05,4.8008261235180574e-05
9502,9,0.08333333333333333,3.572440871969688e-05,3.0759296614230764e-05
9503,3,0.0,7.203314288253433e-07,1.239077472003423e-05
9504,93,0.04371201496026181,0.0010010527612642956,0.0002900818319338397
308,421,0.04224635222259925,0.009006967770656881,0.0009156791482120474
10606,2,1.0,0.0,8.832771528919136e-06
